GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
9,-19,7,14311,28245,36235,31370,32500,0
-17,-14,10,14326,28217,36235,31276,32500,0
-14,-13,-4,14326,28161,36160,31307,32500,0
-9,-10,4,14414,28133,36160,31276,32467,0
-3,17,-5,14458,28161,36085,31244,32369,0
-1,15,0,14518,28105,36085,31213,32369,0
-3,8,-26,14607,28022,36047,31213,32402,0
5,-43,11,14861,28022,36010,31150,32402,0
14,-54,8,15335,28022,36122,31119,32369,0
-20,18,-5,15615,27966,36122,31119,32369,0
26,-47,25,15475,27939,36010,31087,32271,0
-7,6,11,15553,27939,36010,31087,32271,0
5,31,8,15631,27911,36010,31056,32271,0
1,-11,-10,15710,27939,36010,31025,32303,0
-21,24,17,15211,27911,36160,31056,32500,0
-4,-3,11,14861,27828,36047,30994,32467,0
45,-3,-10,14967,27856,36085,30994,32599,0
18,-13,12,14741,27745,35935,30994,32799,0
30,-29,2,14621,27691,35824,31087,32966,0
20,-53,6,14696,27609,35639,31244,32999,0
-194,-171,13,15335,27527,35127,31402,33067,0
-118,-27,35,15443,27472,34910,31339,32899,0
10,-45,16,15366,27364,34839,31213,32899,0
39,-23,-4,15335,27364,34839,31213,32699,0
49,-143,37,15584,27337,34874,31181,32666,0
-127,-98,47,15900,27283,34767,31213,32832,0
-29,-47,-8,16044,27229,34696,31150,32699,0
-12,16,-21,15980,27175,34696,31087,32533,0
30,-4,-25,15884,27148,34624,30994,32435,0
-12,8,-3,15663,27095,34589,30962,32271,0
11,-9,6,15789,27068,34518,30900,32173,0
-1,27,-4,16765,27041,34518,30838,32173,0
-10,-8,-2,17739,26988,34447,30807,32108,0
8,-3,-13,18290,27041,34482,30745,32140,0
0,23,-12,18344,26935,34412,30745,32108,0
-1,2,4,18147,26988,34482,30715,32108,0
11,9,11,18004,26935,34412,30745,32010,0
1,11,6,17862,26935,34412,30715,32010,0
7,17,3,17443,26935,34376,30715,32010,0
-14,23,4,16898,26855,34306,30653,31978,0
13,12,-9,16615,26855,34341,30653,31881,0
2,26,5,16352,26855,34306,30622,31881,0
20,23,-3,16173,26829,34341,30622,32010,0
-24,37,-16,16028,26829,34341,30715,31752,0
4,29,-2,15773,26829,34341,30715,31785,0
46,-8,7,15726,26882,34341,30715,31785,0
-14,18,11,15412,26829,34271,30715,31785,0
-21,-16,14,15304,26749,34130,30715,31752,0
-7,-16,12,15273,26749,34060,30622,31817,0
-3,-23,8,15273,26723,34095,30530,31849,0
-33,-4,3,15475,26749,34130,30591,31785,0
-4,-46,12,15350,26670,34200,30499,31752,0
35,101,-44,15119,26776,34341,30591,31817,0
-51,-34,28,14621,26829,34518,30653,31849,0
-6,1,8,14108,26829,34553,30622,31752,0
6,8,3,13964,26749,34412,30591,31752,0
-13,12,-5,13921,26776,34589,30653,31785,0
9,5,-18,13964,26829,34839,30715,31785,0
26,3,-15,14007,26749,34696,30715,31752,0
10,-25,-12,14021,26723,34518,30715,31720,0
37,-14,-40,14079,26644,34271,30653,31593,0
-22,-27,6,14166,26644,34235,30561,31497,0
-32,7,-11,14311,26644,34482,30469,31561,0
5,-13,-2,14621,26644,34200,30317,31434,0
4,3,-6,14846,26644,34165,30256,31434,0
-35,-1,9,14846,26644,34130,30226,31370,0
6,6,0,14861,26592,34165,30195,31307,0
-10,21,-11,14861,26539,34060,30195,31339,0
36,18,0,14786,26566,34060,30195,31402,0
11,13,16,14741,26566,34060,30165,31339,0
3,11,18,14711,26513,33991,30165,31276,0
8,14,3,14636,26487,33921,30165,31307,0
-8,32,-3,14651,26435,33956,30135,31244,0
2,5,7,14786,26435,33921,30105,31244,0
19,-8,-14,14756,26409,33921,30105,31213,0
-30,-18,7,14801,26409,33852,30105,31213,0
-1,-4,-5,14907,26357,33852,30105,31213,0
2,-14,5,14861,26409,33852,30045,31213,0
25,-10,-2,14696,26383,33748,30045,31150,0
48,82,11,14326,26357,33783,30015,31087,0
6,-5,8,14253,26357,33748,30105,31087,0
16,-8,2,14166,26305,33783,30045,30994,0
-26,42,-20,14370,26357,34200,30045,31087,0
-8,16,0,14458,26331,34165,30015,31087,0
-8,-28,46,14385,26305,33852,29955,30962,0
48,-65,33,14268,26253,33748,29925,30931,0
88,-102,11,14224,26253,33783,29984,30869,0
97,-151,-60,14224,26228,33748,29895,30931,0
230,-133,-82,14209,26253,33748,29865,30869,0
71,-394,-125,14577,26279,33748,29865,30838,0
178,-103,-91,14922,26202,33576,29775,30715,0
9,-85,-22,15242,26176,33508,29865,30838,0
71,2,-1,15568,26176,33371,29805,30653,0
94,-21,-23,15584,26124,33337,29805,30591,0
6,-57,-18,15553,26124,33371,29805,30591,0
3,-6,-5,15537,26099,33371,29746,30530,0
-3,-5,24,15459,26099,33303,29746,30561,0
-22,-6,-14,15428,26099,33303,29627,30499,0
-159,29,55,15397,26047,33303,29627,30469,0
-56,28,23,15366,26073,33303,29657,30469,0
-39,29,-2,15288,26022,33236,29686,30530,0
-45,55,17,15288,26022,33269,29686,30408,0
-18,73,33,15013,25996,33337,29657,30499,0
25,55,19,14726,25971,33303,29657,30561,0
-2,5,17,14268,25869,33202,29479,30684,0
67,-26,47,13398,25742,33033,29391,30591,0
-95,9,23,13081,25666,32932,29421,30622,0
4,13,-14,13122,25616,32832,29421,30653,0
39,12,-37,13040,25540,32866,29391,30591,0
23,11,0,12824,25540,32866,29421,30591,0
21,0,2,12797,25540,32866,29391,30591,0
10,-5,2,12716,25591,32866,29391,30591,0
-11,8,-2,12596,25515,32799,29391,30499,0
64,-7,2,12163,25515,32832,29391,30561,0
35,20,-32,12372,25591,32899,29391,30591,0
3,10,-5,12864,25691,33405,29597,30622,0
-57,-11,-17,13013,25691,33645,29746,30715,0
-132,-46,-5,13849,25717,33645,29895,30530,0
